Day,Day #,Confirmed Cases
22-Jan-20,0,1
23-Jan-20,1,1
24-Jan-20,2,2
25-Jan-20,3,2
26-Jan-20,4,5
27-Jan-20,5,5
28-Jan-20,6,5
29-Jan-20,7,6
30-Jan-20,8,6
31-Jan-20,9,8
1-Feb-20,10,8
2-Feb-20,11,8
3-Feb-20,12,11
4-Feb-20,13,11
5-Feb-20,14,11
6-Feb-20,15,12
7-Feb-20,16,12
8-Feb-20,17,12
9-Feb-20,18,12
10-Feb-20,19,12
11-Feb-20,20,13
12-Feb-20,21,13
13-Feb-20,22,14
14-Feb-20,23,14
15-Feb-20,24,14
16-Feb-20,25,14
17-Feb-20,26,15
18-Feb-20,27,16
19-Feb-20,28,16
20-Feb-20,29,16
21-Feb-20,30,16
22-Feb-20,31,16
23-Feb-20,32,16
24-Feb-20,33,17
25-Feb-20,34,18
26-Feb-20,35,19
27-Feb-20,36,19
28-Feb-20,37,19
29-Feb-20,38,26
1-Mar-20,39,39
2-Mar-20,40,57
3-Mar-20,41,79
4-Mar-20,42,113
5-Mar-20,43,184
6-Mar-20,44,247
7-Mar-20,45,417
8-Mar-20,46,538
9-Mar-20,47,630
10-Mar-20,48,797
11-Mar-20,49,1156
12-Mar-20,50,1596
13-Mar-20,51,2222
14-Mar-20,52,2952
15-Mar-20,53,3234
16-Mar-20,54,4667
17-Mar-20,55,6450
18-Mar-20,56,9156
19-Mar-20,57,13663
20-Mar-20,58,20064
21-Mar-20,59,26056
22-Mar-20,60,34944
23-Mar-20,61,46096
24-Mar-20,62,56714
25-Mar-20,63,68841
26-Mar-20,64,86662
27-Mar-20,65,105253
28-Mar-20,66,127417
29-Mar-20,67,143544
30-Mar-20,68,165698
31-Mar-20,69,192079
1-Apr-20,70,227543
2-Apr-20,71,259798
3-Apr-20,72,292201
4-Apr-20,73,323965
5-Apr-20,74,353117
6-Apr-20,75,385110
7-Apr-20,76,415256
8-Apr-20,77,446500
9-Apr-20,78,481981
10-Apr-20,79,516396
11-Apr-20,80,545313
12-Apr-20,81,571551
13-Apr-20,82,598789
14-Apr-20,83,627306
15-Apr-20,84,653345
16-Apr-20,85,682962
17-Apr-20,86,716153
18-Apr-20,87,743465
19-Apr-20,88,768889
20-Apr-20,89,799150
21-Apr-20,90,825479
22-Apr-20,91,855446
23-Apr-20,92,887524
24-Apr-20,93,919015
25-Apr-20,94,949641
26-Apr-20,95,975538
27-Apr-20,96,1000231
28-Apr-20,97,1024835
29-Apr-20,98,1051645
30-Apr-20,99,1081152
1-May-20,100,1115974
2-May-20,101,1142621
3-May-20,102,1166191
4-May-20,103,1190242
5-May-20,104,1214323
6-May-20,105,1238696
7-May-20,106,1266906
8-May-20,107,1294113
9-May-20,108,1318360
10-May-20,109,1337063
11-May-20,110,1356285
12-May-20,111,1379663
13-May-20,112,1399664
14-May-20,113,1425541
15-May-20,114,1449940
16-May-20,115,1473808
17-May-20,116,1492451
18-May-20,117,1514835
19-May-20,118,1535593
20-May-20,119,1558432
21-May-20,120,1583544
22-May-20,121,1607466
23-May-20,122,1627394
24-May-20,123,1647515
25-May-20,124,1666701
26-May-20,125,1685397
27-May-20,126,1704202
28-May-20,127,1725331
29-May-20,128,1750068
30-May-20,129,1772785
31-May-20,130,1791549
1-Jun-20,131,1809386
2-Jun-20,132,1829342
3-Jun-20,133,1848390
4-Jun-20,134,1876101
5-Jun-20,135,1902282
6-Jun-20,136,1922435
7-Jun-20,137,1940244
8-Jun-20,138,1957156
9-Jun-20,139,1977480
10-Jun-20,140,1999226
11-Jun-20,141,2021529
12-Jun-20,142,2047084
13-Jun-20,143,2071220
14-Jun-20,144,2090173
15-Jun-20,145,2111268
16-Jun-20,146,2135895
17-Jun-20,147,2162974
18-Jun-20,148,2191212
19-Jun-20,149,2222208
20-Jun-20,150,2254074
21-Jun-20,151,2279933
22-Jun-20,152,2309922
23-Jun-20,153,2348751
24-Jun-20,154,2385030
25-Jun-20,155,2424387
26-Jun-20,156,2473473
27-Jun-20,157,2514306
28-Jun-20,158,2557224
29-Jun-20,159,2598742
30-Jun-20,160,2648798
1-Jul-20,161,2698128
2-Jul-20,162,2753212
3-Jul-20,163,2804870
4-Jul-20,164,2850894
5-Jul-20,165,2904844
6-Jul-20,166,2948476
7-Jul-20,167,3005889
8-Jul-20,168,3066393
9-Jul-20,169,3126226
10-Jul-20,170,3194748
11-Jul-20,171,3255189
12-Jul-20,172,3315409
13-Jul-20,173,3375034
14-Jul-20,174,3440791
15-Jul-20,175,3507090
16-Jul-20,176,3577864
17-Jul-20,177,3644286
18-Jul-20,178,3708611
19-Jul-20,179,3767604
20-Jul-20,180,3828460
21-Jul-20,181,3896755
22-Jul-20,182,3964205
23-Jul-20,183,4031972
24-Jul-20,184,4106921
25-Jul-20,185,4170676
26-Jul-20,186,4226307
27-Jul-20,187,4286304
28-Jul-20,188,4350868
29-Jul-20,189,4414919
30-Jul-20,190,4484123
31-Jul-20,191,4548498
1-Aug-20,192,4605922
2-Aug-20,193,4652811
3-Aug-20,194,4694707
4-Aug-20,195,4756328
5-Aug-20,196,4810465
6-Aug-20,197,4870501
7-Aug-20,198,4930942
8-Aug-20,199,4994709
9-Aug-20,200,5048872
10-Aug-20,201,5100509
11-Aug-20,202,5157385
12-Aug-20,203,5212606
13-Aug-20,204,5264052
14-Aug-20,205,5334124
15-Aug-20,206,5386449
16-Aug-20,207,5421026
17-Aug-20,208,5459023
18-Aug-20,209,5503998
19-Aug-20,210,5549913
20-Aug-20,211,5595048
21-Aug-20,212,5642948
22-Aug-20,213,5688219
23-Aug-20,214,5720122
24-Aug-20,215,5754213
25-Aug-20,216,5796775
26-Aug-20,217,5838967
27-Aug-20,218,5889404
28-Aug-20,219,5935724
29-Aug-20,220,5978795
30-Aug-20,221,6012963
31-Aug-20,222,6046489
1-Sep-20,223,6088458
2-Sep-20,224,6128576
3-Sep-20,225,6173787
4-Sep-20,226,6222446
5-Sep-20,227,6265684
6-Sep-20,228,6294762
7-Sep-20,229,6319464
8-Sep-20,230,6346567
9-Sep-20,231,6380417
10-Sep-20,232,6420040
11-Sep-20,233,6464865
12-Sep-20,234,6510479
13-Sep-20,235,6550787
14-Sep-20,236,6583688
15-Sep-20,237,6621127
16-Sep-20,238,6659476
17-Sep-20,239,6704917
18-Sep-20,240,6755144
19-Sep-20,241,6800799
20-Sep-20,242,6842404
21-Sep-20,243,6874664
22-Sep-20,244,6912972
23-Sep-20,245,6954202
24-Sep-20,246,7003199
25-Sep-20,247,7050825
26-Sep-20,248,7094715
27-Sep-20,249,7128422
28-Sep-20,250,7164993
29-Sep-20,251,7207283
30-Sep-20,252,7246199
1-Oct-20,253,7292561
2-Oct-20,254,7346108
3-Oct-20,255,7395488
4-Oct-20,256,7428858
5-Oct-20,257,7466805
6-Oct-20,258,7511826
7-Oct-20,259,7561293
8-Oct-20,260,7619506
9-Oct-20,261,7674837
10-Oct-20,262,7730091
11-Oct-20,263,7776971
12-Oct-20,264,7819926
13-Oct-20,265,7870522
14-Oct-20,266,7929693
15-Oct-20,267,7993555
16-Oct-20,268,8063865
17-Oct-20,269,8118715
18-Oct-20,270,8171009
19-Oct-20,271,8239746
20-Oct-20,272,8302317
21-Oct-20,273,8363742
22-Oct-20,274,8443958
23-Oct-20,275,8526090
24-Oct-20,276,8604189
25-Oct-20,277,8664566
26-Oct-20,278,8729036
27-Oct-20,279,8808013
28-Oct-20,280,8896401
29-Oct-20,281,8989080
30-Oct-20,282,9089579
31-Oct-20,283,9176351
1-Nov-20,284,9254489
2-Nov-20,285,9338427
3-Nov-20,286,9465328
4-Nov-20,287,9567397
5-Nov-20,288,9697430
6-Nov-20,289,9826557
7-Nov-20,290,9953779
8-Nov-20,291,10073146
9-Nov-20,292,10192671
10-Nov-20,293,10331956
11-Nov-20,294,10481515
12-Nov-20,295,10641050
13-Nov-20,296,10819811
14-Nov-20,297,10982692
15-Nov-20,298,11121207
16-Nov-20,299,11276944
17-Nov-20,300,11444296
18-Nov-20,301,11617712
19-Nov-20,302,11809679
20-Nov-20,303,12010763
21-Nov-20,304,12188367
22-Nov-20,305,12333601
23-Nov-20,306,12517887
24-Nov-20,307,12692855
25-Nov-20,308,12874106
26-Nov-20,309,12987017
27-Nov-20,310,13202219
28-Nov-20,311,13369708
29-Nov-20,312,13509380
30-Nov-20,313,13667911
1-Dec-20,314,13866742
2-Dec-20,315,14063758
3-Dec-20,316,14283181
4-Dec-20,317,14518315
5-Dec-20,318,14738238
6-Dec-20,319,14916369
