,close BTC,close ETH,close SOL,close ADA,close DOT,close XRP,close ATOM,close AVAX,close LUNA,close BNB,close XTZ,close FIL,close LINK,close FTT,close ALGO,close LTC,close DOGE,close OMG,close COTI,close EOS,close TRX,close CELO,close BCH,close FTM,close CELR,close NEAR,close MATIC,close AXS,close ETC,close IOST,close XLM,close HBAR,close SRM,close VET,close THETA,close CRV,close EGLD,close SUSHI,close UNI,close BTT,close ONE,close JST,close ICP,close XMR,close CVC,close SHIB,close WAVES,close KAVA,close GRT,close OKB,close REN,close DASH,close BSV,close QTUM,close KSM,close CHZ,close RUNE,close NEO,close CAKE,close DYDX,close RSR,close AAVE,close ZEC,close HT,close MIOTA,close COMP,close SNX,close ICX,close ONT,close FET,close FLOW,close AR,close SXP,close 1INCH,close ELF,close SAND,close MANA,close MKR,close WBTC,close SLP,close NANO,close ZIL,close ROSE,close BAT,close XEM,close MLN,close HARD,close QNT,close ENJ,close YFI,close ZRX,close HOT,close SC,close ONGAS,close CTSI
0,47690.54,3172.57,70.67,2.72,25.11,1.136,19.68,55.56,29.66,471.99,3.963,74.43,25.78,47.52,1.038,173.6,0.2888,6.31,0.2861,5.063,0.08474,3.021,637.73,0.4825,0.04454,5.05,1.475,69.96,62.85,0.03982,0.3506,0.2534,6.764,0.1214,7.068,2.097,137.38,12.34,26.61,0.00417,0.1066,0.06983,59.26,307.84,0.3473,7.5e-06,23.69,7.885,0.921,20.95,0.6095,248.43,159.72,12.67,296.36,0.3681,10.34,55.56,23.64,0.0,0.05416,378.34,155.49,13.79,1.058,423.78,12.24,1.436,1.099,0.5208,21.79,27.98,3.873,3.069,0.3372,0.6157,0.8516,3631.26,47690.54,0.1393,6.336,0.1075,0.09824,0.8198,0.2002,91.5,1.123,206.83,1.892,37085.75,1.062,0.01072,0.02044,1.34,0.7597
1,48996.44,3228.86,71.94,2.741,25.98,1.175,20.02,46.27,30.07,503.4,5.101,76.51,26.61,49.62,1.065,177.9,0.2926,6.645,0.4767,5.213,0.08748,3.092,650.82,0.5018,0.04559,5.581,1.528,72.56,63.75,0.04436,0.3591,0.258,7.001,0.1276,7.213,2.197,138.81,12.25,27.06,0.004247,0.1096,0.0741,62.21,314.36,0.3555,7.52e-06,24.29,8.088,0.9521,21.43,0.5886,263.6,163.06,12.93,303.34,0.3878,10.45,56.35,25.98,0.0,0.0543,384.11,163.75,14.1,1.08,435.62,12.41,1.493,1.132,0.5691,22.33,26.9,3.981,3.179,0.3597,0.7395,0.9557,3702.16,48996.44,0.1604,6.716,0.1126,0.1034,0.8625,0.2091,94.94,1.193,195.01,2.069,38299.12,1.152,0.01081,0.023,1.184,0.8109
2,46852.22,3093.62,74.85,2.533,23.95,1.073,17.96,41.37,26.96,478.21,4.438,72.29,24.4,45.8,0.9889,167.82,0.2684,5.986,0.3673,4.739,0.0832,3.541,606.35,0.4319,0.04328,4.877,1.373,69.67,59.81,0.04436,0.3352,0.2383,6.391,0.116,6.528,2.049,134.52,11.61,25.53,0.004001,0.0991,0.06812,56.6,291.75,0.3227,6.98e-06,22.99,7.614,0.8655,20.22,0.5397,231.77,155.97,11.81,277.22,0.3584,9.51,51.35,24.81,0.0,0.0501,351.06,144.02,13.35,0.9694,404.95,11.42,1.325,1.038,0.517,21.28,25.72,3.732,2.922,0.3422,0.6778,0.8917,3587.7,46847.53,0.1416,6.261,0.1056,0.09605,0.7929,0.1918,127.79,1.115,186.1,1.852,36177.18,1.048,0.01021,0.02103,1.129,0.7337
3,49088.1,3275.87,88.11,2.946,26.53,1.191,20.48,50.17,32.65,494.66,5.242,75.18,26.05,49.53,1.065,176.3,0.2945,6.567,0.3996,5.093,0.08822,4.161,635.97,0.4924,0.04969,5.321,1.519,73.63,64.12,0.04665,0.3574,0.2542,7.506,0.1281,6.964,2.183,140.92,12.22,27.42,0.004237,0.1054,0.07187,62.72,315.05,0.3409,7.47e-06,24.66,8.149,0.9238,20.88,0.6147,242.2,159.19,12.86,305.77,0.3784,10.38,55.52,26.16,0.0,0.05338,372.89,152.27,14.36,1.043,421.25,12.24,1.397,1.089,0.5621,21.89,38.47,4.007,3.212,0.3797,0.709,0.9308,3751.39,49088.1,0.1465,6.635,0.1127,0.1036,0.8455,0.2003,127.81,1.167,194.68,2.003,37807.01,1.111,0.0105,0.02195,1.134,0.7731
4,48918.9,3246.78,96.38,2.849,25.97,1.145,21.33,50.19,35.03,486.33,5.634,74.0,25.74,51.23,1.038,175.68,0.2858,6.446,0.3816,5.006,0.08827,4.598,646.71,0.5218,0.04912,5.719,1.459,74.8,61.3,0.04539,0.3479,0.261,8.257,0.1233,6.925,2.094,140.79,11.79,26.83,0.004177,0.1004,0.07094,65.11,300.56,0.346,7.22e-06,25.35,8.682,0.9166,20.34,0.6055,236.43,164.22,12.58,305.1,0.3688,9.973,54.54,25.43,0.0,0.05074,367.26,150.52,14.36,1.013,414.07,11.99,1.402,1.094,0.5519,21.7,47.61,3.862,3.284,0.3718,0.7609,0.9229,3607.15,48918.9,0.1394,6.485,0.1129,0.1027,0.8196,0.1946,126.94,1.215,196.36,2.057,38073.41,1.081,0.01136,0.02126,1.194,0.794
5,48794.26,3225.3,94.29,2.854,25.73,1.141,21.22,47.44,33.3,479.97,5.881,73.68,25.78,47.43,1.022,174.44,0.281,6.649,0.3616,5.06,0.08862,4.27,659.56,0.586,0.04435,5.553,1.42,78.31,63.21,0.04396,0.3432,0.2521,7.879,0.1237,6.928,2.104,141.02,11.6,26.8,0.004214,0.1012,0.07379,72.17,291.33,0.3527,7.11e-06,24.82,8.413,0.914,20.21,0.664,225.37,170.05,12.94,296.18,0.3756,9.898,54.5,25.24,0.0,0.04943,364.04,148.43,14.34,1.006,418.37,11.64,1.385,1.077,0.6048,27.66,42.57,3.739,3.151,0.3754,1.002,1.022,3454.28,48794.26,0.1364,6.691,0.1101,0.1078,0.8148,0.1944,117.45,1.162,190.88,2.184,37489.65,1.096,0.01107,0.02083,1.168,0.7924
6,46993.31,3228.46,110.17,2.736,26.03,1.101,22.18,41.4,33.46,460.05,5.391,71.16,25.03,46.32,1.021,167.39,0.272,6.221,0.3238,4.82,0.08614,7.093,632.8,0.7923,0.04655,5.329,1.319,72.89,58.98,0.04126,0.3299,0.2447,8.2,0.1171,6.589,2.097,158.13,11.52,26.83,0.004042,0.1153,0.07064,64.76,281.58,0.3342,6.67e-06,26.56,7.829,0.8503,20.27,0.6454,216.41,162.6,12.18,298.62,0.3684,9.537,51.5,23.21,0.0,0.04838,357.62,140.98,14.21,0.967,420.22,11.09,1.319,1.023,0.6226,25.1,56.2,3.523,3.012,0.3913,0.9729,0.9476,3359.05,47040.3,0.1248,6.411,0.1075,0.118,0.7928,0.1902,108.52,1.149,184.54,2.082,36241.56,1.046,0.01058,0.01934,1.078,0.7698
7,47159.26,3435.17,108.34,2.771,31.36,1.187,22.87,39.51,31.56,464.42,5.177,75.95,26.74,48.51,1.11,171.7,0.2783,6.332,0.3141,5.045,0.08879,5.645,636.65,0.72,0.04809,5.287,1.339,72.2,63.95,0.04218,0.3406,0.2516,8.358,0.1229,6.671,2.242,168.97,12.09,29.44,0.004193,0.1185,0.07324,63.0,286.35,0.3401,6.86e-06,28.21,7.815,0.8541,20.3,0.76,223.96,163.88,12.41,394.82,0.3671,9.882,52.16,22.91,0.0,0.04592,392.57,143.93,14.9,0.9915,442.16,11.6,1.329,1.043,0.7237,25.1,65.69,3.526,3.06,0.4321,0.9515,0.9436,3523.62,47159.26,0.1139,6.406,0.1082,0.1203,0.817,0.1934,109.56,1.121,181.8,2.021,38402.7,1.065,0.01056,0.0197,1.124,0.7871
8,48840.01,3829.18,110.73,2.87,33.2,1.237,25.41,42.49,31.75,489.87,5.422,78.65,29.74,65.14,1.16,180.89,0.2946,6.77,0.3365,5.313,0.09503,5.806,656.04,0.8688,0.05839,5.495,1.47,73.94,68.78,0.04384,0.3536,0.2645,8.72,0.1373,7.111,2.313,176.52,13.86,31.36,0.004411,0.1226,0.07873,66.28,303.0,0.3521,7.18e-06,29.07,8.164,0.921,22.53,0.8698,238.93,168.2,13.23,387.79,0.3839,10.72,55.29,24.2,0.0,0.04844,413.41,151.59,15.72,1.141,477.68,12.51,1.425,1.11,0.7076,25.73,61.44,3.684,3.34,0.4898,1.01,0.9816,3694.4,48888.85,0.1205,6.714,0.1153,0.1309,0.8651,0.2008,115.26,1.16,185.49,2.08,39997.93,1.122,0.01098,0.02076,1.299,0.8147
9,49280.77,3787.7,128.29,2.963,31.82,1.254,24.17,47.66,32.82,483.69,5.298,77.41,29.97,60.19,1.145,183.45,0.2947,6.78,0.34,5.259,0.09963,5.615,664.68,0.8496,0.05382,5.49,1.446,72.69,67.6,0.04469,0.3592,0.2746,8.83,0.1431,7.026,2.206,172.25,13.11,29.94,0.0047,0.1194,0.08303,64.51,302.78,0.357,7.09e-06,29.72,8.164,0.907,21.65,0.8067,239.21,169.43,13.25,401.44,0.385,10.39,55.39,23.46,0.0,0.04949,399.89,150.65,15.32,1.553,462.42,12.5,1.446,1.165,0.7077,25.19,56.92,3.63,3.353,0.5053,1.006,0.9666,3549.81,49330.05,0.1387,6.687,0.114,0.1232,0.8499,0.2034,116.7,1.172,186.38,2.049,38691.12,1.119,0.01307,0.02066,1.262,0.8112
