,close BTC,close ETH,close SOL,close ADA,close DOT,close XRP,close ATOM,close AVAX,close LUNA,close BNB,close XTZ,close FIL,close LINK,close FTT,close ALGO,close LTC,close DOGE,close OMG,close COTI,close EOS,close TRX,close CELO,close BCH,close FTM,close CELR,close NEAR,close MATIC,close AXS,close ETC,close IOST,close XLM,close HBAR,close SRM,close VET,close THETA,close CRV,close EGLD,close SUSHI,close UNI,close BTT,close ONE,close JST,close ICP,close XMR,close CVC,close SHIB,close WAVES,close KAVA,close GRT,close OKB,close REN,close DASH,close BSV,close QTUM,close KSM,close CHZ,close RUNE,close NEO,close CAKE,close DYDX,close RSR,close AAVE,close ZEC,close HT,close MIOTA,close COMP,close SNX,close ICX,close ONT,close FET,close FLOW,close AR,close SXP,close 1INCH,close ELF,close SAND,close MANA,close MKR,close WBTC,close SLP,close NANO,close ZIL,close ROSE,close BAT,close XEM,close MLN,close HARD,close QNT,close ENJ,close YFI,close ZRX,close HOT,close SC,close ONGAS,close CTSI
0,60582.14,3868.59,158.93,2.192,42.03,1.148,33.57,59.78,37.0,466.44,6.888,66.66,27.89,56.36,1.806,187.04,0.2384,14.06,0.5053,4.631,0.09903,5.858,637.92,1.97,0.1399,7.803,1.515,125.97,55.1,0.05223,0.4098,0.3723,7.355,0.1202,6.225,2.943,241.24,11.79,27.14,0.003631,0.2161,0.07648,45.93,269.95,0.4811,2.597e-05,29.51,5.783,0.8048,16.04,1.027,192.41,173.33,12.75,341.25,0.3246,8.078,44.55,19.82,22.3,0.03701,310.47,126.31,7.666,1.294,317.51,9.86,2.019,0.9626,0.789,13.81,53.01,2.417,3.24,0.6078,0.737,0.773,2596.97,60642.72,0.07339,5.378,0.09869,0.2084,0.7029,0.1752,133.12,1.052,293.07,1.721,35480.93,1.012,0.009195,0.01836,1.152,0.6795
1,61057.62,3866.61,158.88,2.19,41.79,1.144,33.48,59.14,36.99,467.39,6.884,66.65,27.84,56.54,1.822,186.85,0.2377,14.08,0.5038,4.615,0.09916,5.829,635.13,2.065,0.1398,7.821,1.524,125.53,54.71,0.05243,0.4163,0.3719,7.347,0.1203,6.187,2.941,240.38,11.85,27.04,0.003632,0.2158,0.0766,46.4,269.26,0.4802,2.599e-05,29.48,5.753,0.8059,16.08,1.022,192.51,172.79,12.81,340.06,0.3241,8.06,44.55,19.73,22.32,0.03715,309.76,126.08,7.693,1.309,316.52,9.832,2.026,0.962,0.795,13.95,52.88,2.454,3.231,0.6098,0.7378,0.7763,2593.75,61118.68,0.07354,5.395,0.1001,0.2095,0.7105,0.1758,133.95,1.057,293.49,1.728,35314.4,1.011,0.009201,0.01829,1.155,0.6878
2,60842.37,3839.76,158.22,2.183,41.55,1.145,33.25,58.49,36.64,465.36,6.882,66.52,27.64,56.42,1.797,186.63,0.2364,14.01,0.5018,4.579,0.09879,5.818,632.5,2.087,0.1387,7.8,1.521,125.52,54.47,0.05226,0.4167,0.3712,7.322,0.1195,6.145,2.905,240.27,11.61,26.93,0.003634,0.2155,0.07607,46.71,267.77,0.482,2.575e-05,29.31,5.72,0.8074,16.03,1.018,191.71,171.7,12.71,339.71,0.3224,8.005,44.31,19.77,22.21,0.03711,307.76,126.19,7.663,1.312,315.41,9.769,2.001,0.9546,0.7706,13.97,52.45,2.409,3.203,0.6075,0.7348,0.7751,2575.86,60903.21,0.07284,5.363,0.09852,0.2136,0.7026,0.1762,133.67,1.068,293.87,1.72,35197.4,1.002,0.009204,0.01829,1.155,0.6867
3,61009.7,3831.45,158.76,2.186,41.85,1.144,33.21,58.75,36.6,466.48,6.909,66.7,27.61,56.4,1.813,186.42,0.2373,14.01,0.5043,4.567,0.09905,5.846,629.66,2.133,0.1397,7.864,1.517,125.77,54.52,0.05249,0.4118,0.3718,7.342,0.12,6.169,2.908,242.15,11.52,26.98,0.00363,0.2166,0.07594,46.62,268.08,0.4871,2.566e-05,29.42,5.741,0.8032,15.97,1.023,192.0,171.44,12.77,340.5,0.3234,8.072,44.29,19.82,22.27,0.03802,307.6,126.46,7.643,1.299,317.63,9.801,2.022,0.9535,0.7767,14.8,52.48,2.412,3.216,0.6081,0.7414,0.832,2587.47,61009.7,0.07314,5.38,0.09887,0.2105,0.7049,0.1752,132.86,1.052,296.0,1.734,35269.14,1.003,0.009133,0.01831,1.153,0.6889
4,60674.14,3815.38,157.06,2.177,41.39,1.134,33.0,57.93,36.51,464.64,6.892,66.22,27.36,56.17,1.803,185.45,0.2362,13.95,0.5055,4.547,0.09854,5.835,626.4,2.115,0.1396,7.821,1.503,124.42,54.19,0.05216,0.4066,0.3719,7.293,0.1192,6.14,2.892,241.3,11.42,26.89,0.003624,0.2153,0.0757,45.49,265.51,0.4848,2.515e-05,29.31,5.737,0.7949,15.92,1.017,190.46,170.43,12.69,338.42,0.3267,8.016,44.01,19.76,22.13,0.03686,305.79,125.29,7.64,1.29,315.4,9.739,2.005,0.9477,0.7644,15.33,52.44,2.396,3.196,0.6059,0.7383,0.8191,2565.96,60734.81,0.07322,5.375,0.09837,0.2078,0.7365,0.1738,132.28,1.045,302.9,1.727,35049.16,0.9969,0.009098,0.01821,1.146,0.6805
5,60797.99,3825.11,157.9,2.183,41.86,1.138,33.21,57.63,36.57,466.24,6.908,66.63,27.3,56.34,1.798,186.73,0.2375,14.05,0.505,4.582,0.09884,5.856,628.1,2.133,0.1386,7.916,1.508,125.32,54.29,0.05229,0.4055,0.3732,7.325,0.1199,6.147,2.909,242.16,11.53,26.98,0.003623,0.2169,0.07612,45.69,268.48,0.4848,2.543e-05,29.26,5.7,0.8026,15.97,1.028,191.39,172.0,12.8,340.21,0.3258,8.11,44.29,19.8,22.29,0.03726,305.53,126.1,7.654,1.296,318.04,9.776,2.004,0.9564,0.7721,15.63,52.74,2.423,3.208,0.6078,0.7458,0.8067,2597.74,60858.79,0.07314,5.403,0.0981,0.2085,0.7261,0.1744,132.55,1.048,320.73,1.75,35209.84,1.005,0.009249,0.01821,1.16,0.6845
6,60877.77,3829.61,157.56,2.178,41.69,1.134,33.1,57.58,36.61,465.85,6.904,66.5,27.23,56.35,1.797,185.9,0.2373,14.13,0.5034,4.563,0.09871,5.875,624.9,2.139,0.135,7.853,1.508,125.08,54.06,0.05224,0.3965,0.3726,7.306,0.1199,6.139,2.905,241.13,11.39,27.06,0.00363,0.2168,0.07594,45.99,267.98,0.482,2.57e-05,29.24,5.711,0.7995,15.92,1.03,190.32,171.43,12.81,341.22,0.328,8.066,44.29,19.75,22.35,0.03711,304.57,126.05,7.652,1.293,316.32,9.778,2.0,0.9586,0.767,15.63,51.52,2.424,3.204,0.6058,0.7494,0.8089,2595.06,60877.77,0.07303,5.382,0.0973,0.2076,0.7166,0.1742,132.06,1.048,308.74,1.718,35051.35,1.004,0.009319,0.01825,1.155,0.6896
7,60926.73,3840.13,159.21,2.171,41.69,1.132,33.12,57.57,36.71,463.46,6.922,66.14,27.26,56.48,1.789,185.42,0.2367,14.03,0.5052,4.547,0.09863,5.886,623.45,2.127,0.1377,7.994,1.486,124.95,54.18,0.05196,0.3967,0.3663,7.305,0.1191,6.113,2.87,240.03,11.34,26.56,0.003606,0.2184,0.07554,45.57,267.96,0.4825,2.554e-05,29.68,5.737,0.7935,15.94,1.022,189.54,169.86,12.8,339.18,0.3293,8.069,44.16,19.66,22.33,0.03727,306.43,125.63,7.582,1.286,315.13,9.734,2.008,0.9622,0.7704,15.05,51.93,2.416,3.198,0.6075,0.746,0.8076,2598.87,60942.86,0.07281,5.375,0.09685,0.2064,0.7139,0.1757,132.4,1.057,301.0,1.685,35058.32,1.003,0.009251,0.01807,1.143,0.6876
8,61102.97,3849.13,158.98,2.18,42.11,1.134,33.36,57.96,36.83,465.18,6.958,66.37,27.36,56.66,1.791,186.49,0.2374,14.1,0.5058,4.562,0.09901,5.926,625.51,2.119,0.1375,8.017,1.494,125.68,54.36,0.05192,0.4008,0.3688,7.356,0.1204,6.141,2.882,241.64,11.31,26.7,0.003618,0.2192,0.07579,46.2,265.86,0.4818,2.587e-05,29.48,5.742,0.8045,16.12,1.029,192.35,169.32,12.86,340.89,0.3287,8.075,44.57,19.68,22.44,0.03716,307.68,126.24,7.571,1.284,317.34,9.864,2.023,0.9784,0.7811,15.15,52.23,2.426,3.206,0.6008,0.7538,0.8046,2605.72,61085.69,0.07294,5.381,0.09733,0.2065,0.7132,0.1783,132.78,1.056,310.62,1.691,35229.91,1.007,0.00927,0.01817,1.146,0.6929
9,61109.55,3851.02,159.73,2.177,42.31,1.132,33.19,57.66,36.66,463.83,6.908,66.16,27.22,56.64,1.783,186.57,0.2363,14.1,0.5043,4.563,0.09887,5.904,624.56,2.093,0.1381,7.963,1.492,125.39,54.27,0.0518,0.3961,0.3683,7.334,0.1194,6.108,2.873,240.16,11.34,26.49,0.003625,0.2195,0.07563,45.99,265.03,0.479,2.572e-05,29.34,5.722,0.8036,16.07,1.029,191.4,169.33,12.82,343.92,0.3248,8.035,44.45,19.63,22.38,0.03666,308.42,125.58,7.599,1.286,316.51,9.877,2.03,0.9717,0.7758,15.1,51.97,2.408,3.197,0.6069,0.7529,0.7916,2604.77,61094.23,0.07317,5.373,0.097,0.2059,0.7103,0.1761,132.28,1.055,317.13,1.674,35136.43,1.006,0.0093,0.01815,1.149,0.6917
