,close BTC,close ETH,close SOL,close ADA,close DOT,close XRP,close ATOM,close AVAX,close LUNA,close BNB,close XTZ,close FIL,close LINK,close FTT,close ALGO,close LTC,close DOGE,close OMG,close COTI,close EOS,close TRX,close CELO,close BCH,close FTM,close CELR,close NEAR,close MATIC,close AXS,close ETC,close IOST,close XLM,close HBAR,close SRM,close VET,close THETA,close CRV,close EGLD,close SUSHI,close UNI,close BTT,close ONE,close JST,close ICP,close XMR,close CVC,close SHIB,close WAVES,close KAVA,close GRT,close OKB,close REN,close DASH,close BSV,close QTUM,close KSM,close CHZ,close RUNE,close NEO,close CAKE,close DYDX,close RSR,close AAVE,close ZEC,close HT,close MIOTA,close COMP,close SNX,close ICX,close ONT,close FET,close FLOW,close AR,close SXP,close 1INCH,close ELF,close SAND,close MANA,close MKR,close WBTC,close SLP,close NANO,close ZIL,close ROSE,close BAT,close XEM,close MLN,close HARD,close QNT,close ENJ,close YFI,close ZRX,close HOT,close SC,close ONGAS,close CTSI
0,60832.4,3955.89,204.58,2.152,43.95,1.09,33.96,66.25,43.23,481.34,6.645,65.66,28.46,63.37,1.874,193.12,0.2388,14.16,0.5235,4.624,0.0996,6.521,619.07,2.566,0.1387,8.973,1.515,126.37,54.24,0.05067,0.3699,0.377,7.862,0.13,6.737,3.181,270.83,10.73,25.69,0.003639,0.2634,0.07995,44.69,268.45,0.4719,2.785e-05,27.71,5.749,0.9026,28.26,1.106,195.34,169.9,12.77,372.25,0.3198,10.77,44.11,19.81,19.86,0.03995,310.93,159.81,10.22,1.327,316.86,9.506,2.054,0.9744,0.7294,13.51,53.9,2.287,4.015,0.5835,0.7536,0.7865,2532.23,60841.59,0.06701,5.471,0.1003,0.187,0.6999,0.1737,139.49,1.03,284.33,1.808,34238.79,0.9952,0.009545,0.01843,1.189,0.8017
1,60808.91,3954.52,204.4,2.15,43.93,1.089,33.96,66.16,43.17,481.25,6.643,65.63,28.44,63.34,1.873,192.99,0.2388,14.16,0.5236,4.621,0.09949,6.518,618.74,2.566,0.1386,8.969,1.514,126.27,54.25,0.05066,0.3694,0.377,7.85,0.13,6.746,3.178,270.37,10.72,25.67,0.003638,0.2637,0.07992,44.69,268.41,0.4699,2.795e-05,27.8,5.746,0.9021,28.26,1.105,195.32,169.84,12.76,372.04,0.3195,10.83,44.09,19.83,19.88,0.03994,310.98,159.71,10.21,1.301,316.82,9.51,2.054,0.974,0.7249,13.58,53.86,2.29,4.012,0.5838,0.7524,0.7863,2532.68,60878.84,0.06711,5.468,0.1004,0.187,0.6992,0.173,139.43,1.03,284.35,1.807,34235.42,0.9946,0.00957,0.0184,1.197,0.8025
2,60853.59,3956.97,204.47,2.152,43.94,1.09,34.01,66.34,43.21,481.56,6.656,65.65,28.46,63.41,1.876,193.11,0.239,14.16,0.524,4.626,0.09948,6.526,619.06,2.567,0.1381,8.964,1.515,126.34,54.26,0.05069,0.3696,0.377,7.863,0.1301,6.762,3.182,270.86,10.75,25.68,0.00364,0.2637,0.07997,44.73,268.73,0.4721,2.796e-05,27.71,5.742,0.9033,28.28,1.105,195.4,169.96,12.78,372.31,0.3198,10.8,44.11,19.83,19.89,0.03955,310.96,159.85,10.22,1.319,317.05,9.517,2.061,0.9731,0.725,13.59,53.9,2.29,4.016,0.5848,0.7542,0.7886,2522.57,60858.2,0.06699,5.473,0.1002,0.187,0.6999,0.1738,139.21,1.029,284.66,1.808,34257.33,0.9951,0.009576,0.01844,1.198,0.8021
3,60879.18,3962.69,205.02,2.153,43.98,1.09,34.04,66.37,43.27,481.86,6.657,65.64,28.49,63.43,1.879,193.12,0.239,14.18,0.5242,4.632,0.09957,6.531,619.14,2.568,0.1382,8.968,1.517,126.58,54.3,0.05072,0.3694,0.3774,7.872,0.1299,6.752,3.186,271.52,10.74,25.7,0.003606,0.2643,0.08001,44.78,268.63,0.4706,2.788e-05,27.8,5.754,0.9033,28.29,1.105,195.38,170.04,12.78,372.81,0.3201,10.8,44.14,19.83,19.9,0.04002,311.42,159.97,10.25,1.33,317.18,9.523,2.063,0.9733,0.7254,13.52,53.96,2.292,4.018,0.5841,0.7524,0.7888,2534.72,60946.17,0.06709,5.469,0.1005,0.1857,0.7015,0.1737,139.42,1.029,284.69,1.808,34303.84,0.9954,0.009545,0.01847,1.191,0.8026
4,60779.14,3955.32,204.23,2.151,43.94,1.089,33.98,66.3,43.23,481.01,6.648,65.57,28.44,63.35,1.873,192.64,0.2387,14.18,0.524,4.62,0.0995,6.528,618.88,2.555,0.138,8.947,1.514,126.37,54.22,0.05105,0.3693,0.3774,7.847,0.1299,6.716,3.183,270.83,10.74,25.67,0.003599,0.265,0.07982,44.72,268.37,0.4699,2.784e-05,27.69,5.742,0.9016,28.24,1.103,195.16,169.82,12.76,372.16,0.3196,10.75,44.09,19.82,19.89,0.03995,310.95,159.81,10.24,1.328,316.68,9.512,2.054,0.9732,0.7244,13.59,53.84,2.289,4.01,0.5841,0.7539,0.788,2533.85,60793.27,0.06696,5.467,0.1002,0.1854,0.7001,0.1738,139.42,1.029,284.46,1.804,34286.99,0.994,0.009572,0.01843,1.189,0.8019
5,60734.42,3952.54,203.75,2.149,43.85,1.088,33.94,66.14,43.16,480.85,6.646,65.45,28.42,63.26,1.867,192.64,0.2385,14.16,0.5231,4.62,0.09943,6.522,618.56,2.549,0.1379,8.946,1.512,126.39,54.17,0.05059,0.3687,0.3772,7.836,0.1295,6.715,3.178,270.16,10.73,25.66,0.003597,0.2644,0.07956,44.66,268.31,0.4695,2.78e-05,27.66,5.741,0.9006,28.22,1.102,195.02,169.69,12.76,371.57,0.3197,10.71,44.03,19.79,19.83,0.03986,310.75,159.79,10.2,1.319,316.41,9.505,2.053,0.9726,0.7245,13.59,53.87,2.285,4.015,0.5822,0.7545,0.7874,2529.63,60750.54,0.06688,5.467,0.1002,0.1846,0.6994,0.1735,139.26,1.029,284.48,1.803,34211.7,0.9941,0.009545,0.01843,1.189,0.8014
6,60724.24,3950.19,203.64,2.149,43.85,1.087,33.93,66.09,43.09,480.53,6.648,65.49,28.4,63.26,1.867,192.53,0.2384,14.15,0.5234,4.612,0.09942,6.524,618.17,2.548,0.1385,8.939,1.511,126.2,54.14,0.0506,0.3689,0.3771,7.833,0.1297,6.692,3.177,270.22,10.72,25.67,0.003634,0.2639,0.07975,44.64,268.28,0.469,2.777e-05,27.8,5.74,0.9022,28.19,1.103,194.99,169.66,12.75,371.21,0.3195,10.77,44.01,19.78,19.81,0.0398,310.44,159.43,10.2,1.294,316.34,9.503,2.051,0.973,0.727,13.66,53.81,2.286,4.004,0.5842,0.7529,0.7868,2528.13,60714.42,0.06696,5.47,0.1002,0.187,0.6999,0.1736,139.19,1.029,284.73,1.802,34175.76,0.9926,0.009545,0.01845,1.19,0.8015
7,60748.18,3953.66,203.68,2.148,43.9,1.089,33.96,66.21,43.08,480.99,6.647,65.53,28.43,63.26,1.868,192.68,0.2384,14.15,0.524,4.618,0.09948,6.526,618.62,2.547,0.1379,8.942,1.512,126.24,54.18,0.05069,0.3688,0.3769,7.847,0.1296,6.701,3.182,270.51,10.73,25.68,0.003637,0.2635,0.07978,44.69,268.28,0.4693,2.783e-05,27.66,5.743,0.9039,28.14,1.103,195.11,169.73,12.76,371.23,0.3197,10.77,44.02,19.79,19.87,0.03981,310.75,159.59,10.2,1.296,316.66,9.51,2.048,0.9731,0.7294,13.52,53.89,2.287,4.005,0.5824,0.7536,0.7863,2529.68,60767.75,0.06705,5.477,0.1002,0.1853,0.6992,0.1734,139.33,1.029,284.81,1.804,34207.3,0.9935,0.009545,0.01846,1.191,0.8011
8,60695.31,3949.9,203.53,2.147,43.84,1.088,33.91,66.15,43.05,480.53,6.646,65.49,28.4,63.2,1.866,192.51,0.2381,14.15,0.5231,4.611,0.09944,6.519,618.25,2.549,0.1384,8.94,1.51,126.17,54.13,0.05064,0.3686,0.3768,7.836,0.1297,6.703,3.18,270.09,10.73,25.66,0.003634,0.2627,0.07975,44.66,268.15,0.4686,2.785e-05,27.8,5.744,0.9018,28.13,1.102,194.97,169.58,12.75,371.27,0.3196,10.77,43.97,19.79,19.88,0.03986,310.28,159.47,10.19,1.295,316.35,9.5,2.05,0.9732,0.7294,13.52,53.85,2.285,4.003,0.5814,0.7514,0.7863,2529.28,60756.01,0.06683,5.478,0.1002,0.187,0.6992,0.1735,139.24,1.029,284.76,1.803,34198.23,0.9929,0.009519,0.01845,1.19,0.8017
9,60699.89,3951.8,203.45,2.147,43.87,1.088,33.94,66.17,43.05,480.7,6.645,65.5,28.42,63.2,1.864,192.86,0.2382,14.15,0.5227,4.615,0.09944,6.518,618.25,2.559,0.1378,8.941,1.51,126.01,54.15,0.05062,0.369,0.3764,7.838,0.1296,6.694,3.181,270.18,10.74,25.66,0.003636,0.2625,0.07979,44.66,268.11,0.4691,2.788e-05,27.65,5.751,0.9031,28.12,1.102,194.96,169.66,12.75,371.3,0.3197,10.8,43.95,19.79,19.88,0.03991,310.27,159.34,10.19,1.308,316.46,9.493,2.049,0.9727,0.7347,13.52,53.85,2.285,4.001,0.5845,0.7545,0.7867,2528.91,60739.17,0.06694,5.479,0.1001,0.1865,0.6985,0.1734,139.1,1.029,284.66,1.802,34160.94,0.9928,0.009524,0.01843,1.189,0.8019
